config,model_path,module_id,phase,flow_step,tensor_role,attention_kind,calls,total_elements,protected_elements,fp_sidepath_ratio
,,expert.layer.3.pv,denoise,6,O,cross,1465,70320000,1098750,0.015625
,,expert.layer.3.pv,denoise,7,A,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.3.pv,denoise,7,B,cross,1465,248932800,4417302,0.017744957675324424
,,expert.layer.3.pv,denoise,7,O,cross,1465,70320000,1098750,0.015625
,,expert.layer.3.pv,denoise,8,A,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.3.pv,denoise,8,B,cross,1465,248932800,4417269,0.017744825109427122
,,expert.layer.3.pv,denoise,8,O,cross,1465,70320000,1098750,0.015625
,,expert.layer.3.pv,denoise,9,A,cross,1465,194478750,1098750,0.005649717514124294
,,expert.layer.3.pv,denoise,9,B,cross,1465,248932800,4417617,0.017746223077071403
,,expert.layer.3.pv,denoise,9,O,cross,1465,70320000,1098750,0.015625
,,expert.layer.3.qk,denoise,0,A,cross,1465,70320000,1098750,0.015625
,,expert.layer.3.qk,denoise,0,B,cross,1465,248932800,7157235,0.028751675150884094
