config,model_path,module_id,component,layer_idx,operator,phase,flow_step,tensor_role,attention_kind,calls,total_elements_reported,zero_elements_reported,zero_rate_reported,protected_elements,fp_sidepath_ratio,total_elements_native,zero_elements_native,zero_rate_native,total_bits_reported,sparse_bits_reported,sparse_bit_rate_reported,protected_bits,total_bits_native,sparse_bits_native,sparse_bit_rate_native,amplitude_zero_bits_native,amplitude_zero_bit_rate_native,ideal_sparse_upper_bound
,,expert.layer.0.pv,expert,0,pv,denoise,6,A,self,1465,249416250,72540784,0.290842252659961,2197500,0.00881057268722467,247218750,70343284,0.28453862823916065,997665000,754476807,0.7562426335493377,8790000,988875000,745686807,0.7540759014031096,745686807,0.7540759014031096,4.066295274458494
,,expert.layer.0.pv,expert,0,pv,denoise,6,B,self,1465,319252800,6495408,0.020345657109350334,6411429,0.02008260851588459,312841371,83979,0.00026843956006061614,1277011200,678621942,0.5314142444482868,25645716,1251365484,652976226,0.5218109611851817,652976226,0.5218109611851817,2.091223174998907
,,expert.layer.0.pv,expert,0,pv,denoise,6,O,self,1465,70320000,1107800,0.015753697383390216,1098750,0.015625,69221250,9050,0.00013074019899958467,281280000,148046223,0.5263304287542662,4395000,276885000,143651223,0.5188118641313181,143651223,0.5188118641313181,2.078189226745407
,,expert.layer.0.pv,expert,0,pv,denoise,7,A,self,1465,249416250,72444009,0.29045424666596503,2197500,0.00881057268722467,247218750,70246509,0.2841471733029958,997665000,754375989,0.7561415795883387,8790000,988875000,745585989,0.7539739491846795,745585989,0.7539739491846795,4.06461021784498
,,expert.layer.0.pv,expert,0,pv,denoise,7,B,self,1465,319252800,6599691,0.02067230420531942,6515625,0.02040898310053976,312737175,84066,0.00026880718609803903,1277011200,678733983,0.531501981345191,26062500,1250948700,652671483,0.5217412056945261,652671483,0.5217412056945261,2.0909181637782472
,,expert.layer.0.pv,expert,0,pv,denoise,7,O,self,1465,70320000,1106845,0.015740116609783847,1098750,0.015625,69221250,8095,0.00011694385755819203,281280000,147831583,0.525567345705347,4395000,276885000,143436583,0.5180366686530509,143436583,0.5180366686530509,2.074846642804313
,,expert.layer.0.pv,expert,0,pv,denoise,8,A,self,1465,249416250,72269361,0.28975401963584974,2197500,0.00881057268722467,247218750,70071861,0.28344072203261284,997665000,753752892,0.7555170242516276,8790000,988875000,744962892,0.7533438422449753,744962892,0.7533438422449753,4.054226779098641
,,expert.layer.0.pv,expert,0,pv,denoise,8,B,self,1465,319252800,6489972,0.02032862985070139,6406002,0.02006560944806122,312846798,83970,0.00026840613532506095,1277011200,678824514,0.5315728742238126,25624008,1251387192,653200506,0.5219811343570152,653200506,0.5219811343570152,2.091967643693093
,,expert.layer.0.pv,expert,0,pv,denoise,8,O,self,1465,70320000,1105753,0.015724587599544936,1098750,0.015625,69221250,7003,0.00010116835509326977,281280000,147795666,0.52543965443686,4395000,276885000,143400666,0.5179069505390325,143400666,0.5179069505390325,2.074288358063052
,,expert.layer.0.pv,expert,0,pv,denoise,9,A,self,1465,249416250,72600282,0.2910808016719039,2197500,0.00881057268722467,247218750,70402782,0.28477929768676524,997665000,753941913,0.7557064876486597,8790000,988875000,745151913,0.7535349897610921,745151913,0.7535349897610921,4.057371060625044
